construct,well,production_date,dna_transfection_micrograms,dna_preparation_concentration,positions,,,,
none,D12,P10-20190902,0.4,0.100,"E_12,F_12,G_12,H_12",,,,
none,E01,P11-20190902,0.4,0.100,"A_01,B_01,C_01,D_01",,,,
376dot4848,E02,P11-20190902,0.4,0.100,"A_02,B_02,C_02,D_02",,,,
376dot9544,E03,P11-20190902,0.4,0.100,"A_03,B_03,C_03,D_03",,,,
376dot9595,E04,P11-20190902,0.4,0.100,"A_04,B_04,C_04,D_04",,,,
376dot8874,E05,P11-20190902,0.4,0.100,"A_05,B_05,C_05,D_05",,,,
376dot13,E06,P11-20190902,0.4,0.100,"A_06,B_06,C_06,D_06",,,,
414dot1,E07,P11-20190902,0.4,0.100,"A_07,B_07,C_07,D_07",,,,
376dot8920,E08,P11-20190902,0.4,0.100,"A_08,B_08,C_08,D_08",,,,
376dot8957,E09,P11-20190902,0.4,0.100,"A_09,B_09,C_09,D_09",,,,
376dot9006,E10,P11-20190902,0.4,0.100,"A_10,B_10,C_10,D_10",,,,
376dot9029,E11,P11-20190902,0.4,0.100,"A_11,B_11,C_11,D_11",,,,
none,E12,P11-20190902,0.4,0.100,"A_12,B_12,C_12,D_12",,,,
none,F01,P11-20190902,0.4,0.100,"E_01,F_01,G_01,H_01",,,,
376dot9518,F02,P11-20190902,0.4,0.100,"E_02,F_02,G_02,H_02",,,,
376dot9572,F03,P11-20190902,0.4,0.100,"E_03,F_03,G_03,H_03",,,,
376dot9596,F04,P11-20190902,0.4,0.100,"E_04,F_04,G_04,H_04",,,,
376dot8877,F05,P11-20190902,0.4,0.100,"E_05,F_05,G_05,H_05",,,,
376dot13,F06,P11-20190902,0.4,0.100,"E_06,F_06,G_06,H_06",,,,
414dot1,F07,P11-20190902,0.4,0.100,"E_07,F_07,G_07,H_07",,,,
376dot8924,F08,P11-20190902,0.4,0.100,"E_08,F_08,G_08,H_08",,,,
376dot8963,F09,P11-20190902,0.4,0.100,"E_09,F_09,G_09,H_09",,,,
376dot9011,F10,P11-20190902,0.4,0.100,"E_10,F_10,G_10,H_10",,,,
376dot10859,F11,P11-20190902,0.4,0.100,"E_11,F_11,G_11,H_11",,,,
none,F12,P11-20190902,0.4,0.100,"E_12,F_12,G_12,H_12",,,,
none,G01,P12-20190902,0.4,0.100,"A_01,B_01,C_01,D_01",,,,
376dot9525,G02,P12-20190902,0.4,0.100,"A_02,B_02,C_02,D_02",,,,
376dot9574,G03,P12-20190902,0.4,0.100,"A_03,B_03,C_03,D_03",,,,
376dot8848,G04,P12-20190902,0.4,0.100,"A_04,B_04,C_04,D_04",,,,
376dot8899,G05,P12-20190902,0.4,0.100,"A_05,B_05,C_05,D_05",,,,
376dot13,G06,P12-20190902,0.4,0.100,"A_06,B_06,C_06,D_06",,,,
414dot1,G07,P12-20190902,0.4,0.100,"A_07,B_07,C_07,D_07",,,,
376dot8926,G08,P12-20190902,0.4,0.100,"A_08,B_08,C_08,D_08",,,,
376dot8971,G09,P12-20190902,0.4,0.100,"A_09,B_09,C_09,D_09",,,,
376dot9012,G10,P12-20190902,0.4,0.100,"A_10,B_10,C_10,D_10",,,,
376dot10860,G11,P12-20190902,0.4,0.100,"A_11,B_11,C_11,D_11",,,,
none,G12,P12-20190902,0.4,0.100,"A_12,B_12,C_12,D_12",,,,
none,H01,P12-20190902,0.4,0.100,"E_01,F_01,G_01,H_01",,,,
376dot9530,H02,P12-20190902,0.4,0.100,"E_02,F_02,G_02,H_02",,,,
376dot9579,H03,P12-20190902,0.4,0.100,"E_03,F_03,G_03,H_03",,,,
376dot8849,H04,P12-20190902,0.4,0.100,"E_04,F_04,G_04,H_04",,,,
376dot8908,H05,P12-20190902,0.4,0.100,"E_05,F_05,G_05,H_05",,,,
376dot13,H06,P12-20190902,0.4,0.100,"E_06,F_06,G_06,H_06",,,,
414dot1,H07,P12-20190902,0.4,0.100,"E_07,F_07,G_07,H_07",,,,
376dot8932,H08,P12-20190902,0.4,0.100,"E_08,F_08,G_08,H_08",,,,
376dot8996,H09,P12-20190902,0.4,0.100,"E_09,F_09,G_09,H_09",,,,
376dot9013,H10,P12-20190902,0.4,0.100,"E_10,F_10,G_10,H_10",,,,
376dot10867,H11,P12-20190902,0.4,0.100,"E_11,F_11,G_11,H_11",,,,
none,H12,P12-20190902,0.4,0.100,"E_12,F_12,G_12,H_12",,,,
 none,A01,P13-20190902,0.4,0.100,"A_01,B_01,C_01,D_01",,,,
514dot3565,A02,P13-20190902,0.4,0.100,"A_02,B_02,C_02,D_02",,,,
514dot3573,A03,P13-20190902,0.4,0.100,"A_03,B_03,C_03,D_03",,,,
514dot3581,A04,P13-20190902,0.4,0.100,"A_04,B_04,C_04,D_04",,,,
514dot3589,A05,P13-20190902,0.4,0.100,"A_05,B_05,C_05,D_05",,,,
514dot1,A06,P13-20190902,0.4,0.100,"A_06,B_06,C_06,D_06",,,,
514dot3597,A07,P13-20190902,0.4,0.100,"A_07,B_07,C_07,D_07",,,,
514dot3605,A08,P13-20190902,0.4,0.100,"A_08,B_08,C_08,D_08",,,,
514dot3613,A09,P13-20190902,0.4,0.100,"A_09,B_09,C_09,D_09",,,,
514dot3621,A10,P13-20190902,0.4,0.100,"A_10,B_10,C_10,D_10",,,,
514dot3629,A11,P13-20190902,0.4,0.100,"A_11,B_11,C_11,D_11",,,,
 none,A12,P13-20190902,0.4,0.100,"A_12,B_12,C_12,D_12",,,,
 none,B01,P13-20190902,0.4,0.100,"E_01,F_01,G_01,H_01",,,,
514dot3566,B02,P13-20190902,0.4,0.100,"E_02,F_02,G_02,H_02",,,,
514dot3574,B03,P13-20190902,0.4,0.100,"E_03,F_03,G_03,H_03",,,,
514dot3582,B04,P13-20190902,0.4,0.100,"E_04,F_04,G_04,H_04",,,,
514dot3590,B05,P13-20190902,0.4,0.100,"E_05,F_05,G_05,H_05",,,,
514dot1,B06,P13-20190902,0.4,0.100,"E_06,F_06,G_06,H_06",,,,
514dot3598,B07,P13-20190902,0.4,0.100,"E_07,F_07,G_07,H_07",,,,
514dot3606,B08,P13-20190902,0.4,0.100,"E_08,F_08,G_08,H_08",,,,
514dot3614,B09,P13-20190902,0.4,0.100,"E_09,F_09,G_09,H_09",,,,
514dot3622,B10,P13-20190902,0.4,0.100,"E_10,F_10,G_10,H_10",,,,
514dot3630,B11,P13-20190902,0.4,0.100,"E_11,F_11,G_11,H_11",,,,
 none,B12,P13-20190902,0.4,0.100,"E_12,F_12,G_12,H_12",,,,
 none,C01,P14-20190902,0.4,0.100,"A_01,B_01,C_01,D_01",,,,
